Time,subjectID,TrialID,FittsLaw-Id,ButtonName,Target-X,Target-Y,Input-Method,GazeCoordinates-X,GazeCoordinates-Y,Previous-Target-X,Pervious-Target-Y,Cursor
836.4594,11,1,2.5,Panel-7-Target-1,0.582489,1.626312,Eye-Gaze,0.5428815,1.560711,-0.4428406,1.423859,Yes
837.9921,11,1,3.8,Panel-2-Target-1,0.6600037,1.646729,Eye-Gaze,0.6714179,1.604618,0.582489,1.626312,Yes
840.6632,11,1,3.8,Panel-2-Target-2,-0.4997864,1.86911,Eye-Gaze,-0.4693864,1.850113,0.6600037,1.646729,Yes
844.5939,11,1,3.8,Panel-2-Target-3,0.5172729,1.229431,Eye-Gaze,0.511308,1.184925,-0.4997864,1.86911,Yes
851.363,11,1,3.8,Panel-2-Target-4,-0.2371826,2.213043,Eye-Gaze,-0.2596413,2.174622,0.5172729,1.229431,Yes
860.9329,11,1,3.8,Panel-2-Target-5,0.1668396,1.009308,Eye-Gaze,0.1536905,0.9787713,-0.2371826,2.213043,Yes
862.7336,11,1,3.8,Panel-2-Target-6,0.1616821,2.28183,Eye-Gaze,0.1590904,2.265574,0.1668396,1.009308,Yes
865.0057,11,1,3.8,Panel-2-Target-7,-0.2390137,1.084961,Eye-Gaze,-0.2480397,1.081167,0.1616821,2.28183,Yes
866.9384,11,1,3.8,Panel-2-Target-8,0.5248413,2.061707,Eye-Gaze,0.5365444,2.04409,-0.2390137,1.084961,Yes
870.6738,11,1,3.8,Panel-2-Target-9,-0.5009766,1.428894,Eye-Gaze,-0.5013765,1.428542,0.5248413,2.061707,Yes
872.0066,11,1,3.8,Panel-2-Target-1,0.6600037,1.646729,Eye-Gaze,0.6574647,1.612213,-0.5009766,1.428894,Yes
873.8053,11,1,3.2,Panel-6-Target-1,0.602478,1.650604,Eye-Gaze,0.5617778,1.62979,0.6600037,1.646729,Yes
889.8629,11,1,3.2,Panel-6-Target-2,-0.4316406,1.859253,Eye-Gaze,-0.4282747,1.823614,0.602478,1.650604,Yes
894.2219,11,1,3.2,Panel-6-Target-3,0.4736328,1.270477,Eye-Gaze,0.4712853,1.242103,-0.4316406,1.859253,Yes
899.1644,11,1,3.2,Panel-6-Target-4,-0.1978149,2.165802,Eye-Gaze,-0.2003967,2.166106,0.4736328,1.270477,Yes
901.7635,11,1,3.2,Panel-6-Target-5,0.1601868,1.072357,Eye-Gaze,0.153883,1.039595,-0.1978149,2.165802,Yes
921.0665,11,1,3.2,Panel-6-Target-6,0.1616821,2.237335,Eye-Gaze,0.1514685,2.20578,0.1601868,1.072357,Yes
928.0672,11,1,3.2,Panel-6-Target-7,-0.1954041,1.140472,Eye-Gaze,-0.2044401,1.085121,0.1616821,2.237335,Yes
931.41,11,1,3.2,Panel-6-Target-8,0.4815063,2.037872,Eye-Gaze,0.4716292,2.037712,-0.1954041,1.140472,Yes
933.0771,11,1,3.2,Panel-6-Target-9,-0.4361572,1.455048,Eye-Gaze,-0.4428472,1.400748,0.4815063,2.037872,Yes
935.2145,11,1,3.2,Panel-6-Target-1,0.602478,1.650604,Eye-Gaze,0.6020726,1.622507,-0.4361572,1.455048,Yes
38.48809,11,2,2.6,Panel-1-Target-1,0.5403748,1.646729,Eye-Gaze,0.5215203,1.564149,0,0,Yes
40.28521,11,2,2.6,Panel-1-Target-2,-0.3537903,1.814087,Eye-Gaze,-0.3616786,1.799582,0.5403748,1.646729,Yes
56.94506,11,2,2.6,Panel-1-Target-3,0.4385071,1.3349,Eye-Gaze,0.4082194,1.293128,-0.3537903,1.814087,Yes
65.21066,11,2,2.6,Panel-1-Target-4,-0.1441956,2.068604,Eye-Gaze,-0.1469635,1.982104,0.4385071,1.3349,Yes
68.06216,11,2,2.6,Panel-1-Target-5,0.1668396,1.165222,Eye-Gaze,0.1694658,1.08903,-0.1441956,2.068604,Yes
78.70525,11,2,2.6,Panel-1-Target-6,0.1616821,2.123627,Eye-Gaze,0.1587864,2.048268,0.1668396,1.165222,Yes
80.34019,11,2,2.6,Panel-1-Target-7,-0.146637,1.217957,Eye-Gaze,-0.1292064,1.228746,0.1616821,2.123627,Yes
108.8565,11,2,2.6,Panel-1-Target-8,0.4370117,1.960846,Eye-Gaze,0.4213225,1.877309,-0.146637,1.217957,Yes
110.6411,11,2,2.6,Panel-1-Target-9,-0.3453064,1.481628,Eye-Gaze,-0.3497935,1.411446,0.4370117,1.960846,Yes
115.5916,11,2,2.6,Panel-1-Target-1,0.5403748,1.646729,Eye-Gaze,0.5056708,1.63501,-0.3453064,1.481628,Yes
116.9415,11,2,1.2,Panel-5-Target-1,0.3756104,1.577484,Eye-Gaze,0.340727,1.551974,0.5403748,1.646729,Yes
119.6409,11,2,1.2,Panel-5-Target-2,-0.2362671,1.719391,Eye-Gaze,-0.2541641,1.642873,0.3756104,1.577484,Yes
121.7624,11,2,1.2,Panel-5-Target-3,0.3034363,1.3349,Eye-Gaze,0.2760572,1.286927,-0.2362671,1.719391,Yes
123.5747,11,2,1.2,Panel-5-Target-4,-0.08847046,1.918884,Eye-Gaze,-0.1158783,1.83685,0.3034363,1.3349,Yes
128.6443,11,2,1.2,Panel-5-Target-5,0.1159668,1.213837,Eye-Gaze,0.04689339,1.11256,-0.08847046,1.918884,Yes
130.1419,11,2,1.2,Panel-5-Target-6,0.1213989,1.974823,Eye-Gaze,0.05055178,1.985319,0.1159668,1.213837,Yes
132.5494,11,2,1.2,Panel-5-Target-7,-0.08242798,1.264496,Eye-Gaze,-0.163817,1.323876,0.1213989,1.974823,Yes
137.1987,11,2,1.2,Panel-5-Target-8,0.3140259,1.831757,Eye-Gaze,0.2182651,1.732405,-0.08242798,1.264496,Yes
137.9487,11,2,1.2,Panel-5-Target-9,-0.2323303,1.448608,Eye-Gaze,-0.2754431,1.490461,0.3140259,1.831757,Yes
144.1299,11,2,1.2,Panel-5-Target-1,0.3756104,1.577484,Eye-Gaze,0.2888325,1.551696,-0.2323303,1.448608,Yes
149.5249,11,2,3.8,Panel-2-Target-1,0.6600037,1.646729,Eye-Gaze,0.6600583,1.601805,0.3756104,1.577484,Yes
156.5638,11,2,3.8,Panel-2-Target-2,-0.4997864,1.86911,Eye-Gaze,-0.5050941,1.868684,0.6600037,1.646729,Yes
159.9889,11,2,3.8,Panel-2-Target-3,0.5172729,1.229431,Eye-Gaze,0.5253454,1.186631,-0.4997864,1.86911,Yes
175.0007,11,2,3.8,Panel-2-Target-4,-0.2371826,2.213043,Eye-Gaze,-0.2207176,2.177114,0.5172729,1.229431,Yes
178.2902,11,2,3.8,Panel-2-Target-5,0.1668396,1.009308,Eye-Gaze,0.1638823,0.9758484,-0.2371826,2.213043,Yes
180.4403,11,2,3.8,Panel-2-Target-6,0.1616821,2.28183,Eye-Gaze,0.1772172,2.272492,0.1668396,1.009308,Yes
181.9534,11,2,3.8,Panel-2-Target-7,-0.2390137,1.084961,Eye-Gaze,-0.2401802,1.041889,0.1616821,2.28183,Yes
183.0024,11,2,3.8,Panel-2-Target-8,0.5248413,2.061707,Eye-Gaze,0.5362778,2.047383,-0.2390137,1.084961,Yes
185.0692,11,2,3.8,Panel-2-Target-9,-0.5009766,1.428894,Eye-Gaze,-0.5232112,1.404588,0.5248413,2.061707,Yes
186.5518,11,2,3.8,Panel-2-Target-1,0.6600037,1.646729,Eye-Gaze,-0.4821273,1.408356,-0.5009766,1.428894,Yes
187.0331,11,2,3.2,Panel-6-Target-1,0.602478,1.650604,Eye-Gaze,0.6152477,1.605652,0.6600037,1.646729,Yes
194.1909,11,2,3.2,Panel-6-Target-2,-0.4316406,1.859253,Eye-Gaze,-0.4432648,1.837866,0.602478,1.650604,Yes
199.9081,11,2,3.2,Panel-6-Target-3,0.4736328,1.270477,Eye-Gaze,0.4109416,1.267008,-0.4316406,1.859253,Yes
203.4986,11,2,3.2,Panel-6-Target-4,-0.1978149,2.165802,Eye-Gaze,-0.193974,2.150299,0.4736328,1.270477,Yes
205.7349,11,2,3.2,Panel-6-Target-5,0.1601868,1.072357,Eye-Gaze,0.1376167,1.037062,-0.1978149,2.165802,Yes
209.0431,11,2,3.2,Panel-6-Target-6,0.1616821,2.237335,Eye-Gaze,0.1869711,2.216814,0.1601868,1.072357,Yes
215.3652,11,2,3.2,Panel-6-Target-7,-0.1954041,1.140472,Eye-Gaze,-0.200676,1.123453,0.1616821,2.237335,Yes
222.1247,11,2,3.2,Panel-6-Target-8,0.4815063,2.037872,Eye-Gaze,0.4752036,1.981117,-0.1954041,1.140472,Yes
232.143,11,2,3.2,Panel-6-Target-9,-0.4361572,1.455048,Eye-Gaze,-0.4341896,1.42025,0.4815063,2.037872,Yes
237.2463,11,2,3.2,Panel-6-Target-1,0.602478,1.650604,Eye-Gaze,0.5866532,1.654042,-0.4361572,1.455048,Yes
237.5293,11,2,1.4,Panel-8-Target-1,0.3586731,1.633179,Eye-Gaze,0.5866532,1.654042,0.602478,1.650604,Yes
239.0446,11,2,1.4,Panel-8-Target-2,-0.2387085,1.770538,Eye-Gaze,-0.2681821,1.743899,0.3586731,1.633179,Yes
245.8247,11,2,1.4,Panel-8-Target-3,0.2810364,1.403687,Eye-Gaze,0.1069167,1.432304,-0.2387085,1.770538,Yes
249.9937,11,2,1.4,Panel-8-Target-4,-0.1048279,1.970001,Eye-Gaze,-0.1410207,1.921955,0.2810364,1.403687,Yes
255.0887,11,2,1.4,Panel-8-Target-5,0.09292603,1.270691,Eye-Gaze,-0.01225384,1.289004,-0.1048279,1.970001,Yes
256.4395,11,2,1.4,Panel-8-Target-6,0.1011047,2.025024,Eye-Gaze,0.06860223,1.889899,0.09292603,1.270691,Yes
259.0069,11,2,1.4,Panel-8-Target-7,-0.1011963,1.305084,Eye-Gaze,-0.1265529,1.348961,0.1011047,2.025024,Yes
266.0422,11,2,1.4,Panel-8-Target-8,0.285553,1.901215,Eye-Gaze,0.3117045,1.798427,-0.1011963,1.305084,Yes
267.8391,11,2,1.4,Panel-8-Target-9,-0.2272034,1.504578,Eye-Gaze,-0.235937,1.366345,0.285553,1.901215,Yes
274.2882,11,2,1.4,Panel-8-Target-1,0.3586731,1.633179,Eye-Gaze,0.3588071,1.509835,-0.2272034,1.504578,Yes
278.64,11,2,1.8,Panel-3-Target-1,0.4237671,1.651306,Eye-Gaze,0.3691269,1.694407,0.3586731,1.633179,Yes
282.3939,11,2,1.8,Panel-3-Target-2,-0.2926025,1.798035,Eye-Gaze,-0.2443867,1.760819,0.4237671,1.651306,Yes
286.7832,11,2,1.8,Panel-3-Target-3,0.3410034,1.37616,Eye-Gaze,0.2532299,1.335954,-0.2926025,1.798035,Yes
289.1857,11,2,1.8,Panel-3-Target-4,-0.1308899,2.018158,Eye-Gaze,-0.1473452,1.932339,0.3410034,1.37616,Yes
335.661,11,2,1.8,Panel-3-Target-5,0.1241455,1.234009,Eye-Gaze,0.05631556,1.197051,-0.1308899,2.018158,Yes
